symbol,name,asset_class,exchange,status,coverage_percent,missing_fields,missing_reasons
5392,能率,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5398,慕康生醫,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5403,中菲,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5410,國眾,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5425,台半,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5426,振發,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5432,新門,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5434,崇越,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5438,東友,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5439,高技,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5443,均豪,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5450,南良,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5452,佶優,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5455,昇益,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5457,宣德,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5460,同協,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5464,霖宏,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5465,富驊,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5468,凱鈺,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5469,瀚宇博,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5471,松翰,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5474,聰泰,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5475,德宏,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
