symbol,name,asset_class,exchange,status,coverage_percent,missing_fields,missing_reasons
4175,杏一,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4178,永笙-KY,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4183,福永生技,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4188,安克,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4190,佐登-KY,stock,TWSE,partial,85.71,本益比狀態 | 歷季財報,valuation_source_missing | quarter_history_incomplete
4192,杏國,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4195,基米-創,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4198,欣大健康,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4205,中華食,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4207,環泰,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4303,信立,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4304,勝昱,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4305,世坤,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4306,炎洲,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4401,東隆興,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4402,郡都開發,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4406,新昕纖,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4413,飛寶企業,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4414,如興,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4416,三圓,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4417,金洲,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4419,皇家美食,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4420,光明,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4426,利勤,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4430,耀億,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4432,銘旺實,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4433,興采,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4438,廣越,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4439,冠星-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4440,宜新實業,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4441,振大環球,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4442,竣邦-KY,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4502,健信,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4503,金雨,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4506,崇友,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4510,高鋒,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4513,福裕,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4523,永彰,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4526,東台,stock,TWSE,partial,85.71,本益比狀態 | 歷季財報,valuation_source_missing | quarter_history_incomplete
4527,方方土霖,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4528,江興鍛,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4529,淳紳,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4530,天意能創,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4532,瑞智,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4533,協易機,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4534,慶騰,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4535,至興,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4536,拓凱,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4538,大詠城,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4540,全球傳動,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4541,晟田,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4542,科嶠,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4543,萬在,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4545,銘鈺,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4549,桓達,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4550,長佳,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4551,智伸科,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4552,力達-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4554,橙的,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4555,氣立,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4556,旭然,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4557,永新-KY,stock,TWSE,partial,85.71,本益比狀態 | 歷季財報,valuation_source_missing | quarter_history_incomplete
4558,寶緯,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4560,強信-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4561,健椿,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4562,穎漢,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4563,百德,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4564,元翎,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4566,時碩工業,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4568,科際精密,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4569,六方科-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4571,鈞興-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4572,駐龍,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4576,大銀微系統,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4577,達航科技,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4580,捷流閥業,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4581,光隆精密-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4582,聚恆-創,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4583,台灣精銳,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4584,君帆,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4585,達明,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4588,玖鼎電力,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4590,富田-創,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4609,唐鋒,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4702,中美實,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4706,大恭,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4707,磐亞,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4711,永純,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4714,永捷,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4716,大立,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4720,德淵,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4721,美琪瑪,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4722,國精化,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4726,永昕,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4728,雙美,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4729,熒茂,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4735,豪展,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4736,泰博,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4737,華廣,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4739,康普,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4741,泓瀚,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4743,合一,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4744,皇將,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4745,合富-KY,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4746,台耀,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4747,強生*,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4749,新應材,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4754,國碳科,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4755,三福化,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4760,勤凱科技,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4763,材料*-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4764,雙鍵,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4766,南寶,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4767,誠泰科技,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4768,晶呈科技,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4770,上品,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4771,望隼,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4772,台特化,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4804,大略-KY,stock,TPEx,partial,71.43,本益比狀態 | 股價淨值比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4806,桂田文創,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4807,日成-KY,stock,TWSE,partial,85.71,殖利率狀態 | 歷季財報,valuation_source_missing | quarter_history_incomplete
4903,聯光通,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4904,遠傳,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4905,台聯電,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4906,正文,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4907,富宇,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4908,前鼎,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4909,新復興,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4911,德英,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4912,聯德控股-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4915,致伸,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4916,事欣科,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4919,新唐,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4923,力士,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4924,欣厚-KY,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4927,泰鼎-KY,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4930,燦星網,stock,TWSE,partial,85.71,本益比狀態 | 歷季財報,valuation_source_missing | quarter_history_incomplete
4931,新盛力,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4933,友輝,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4934,太極,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4935,茂林-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4938,和碩,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4939,亞電,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4942,嘉彰,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4943,康控-KY,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4946,辣椒,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4949,有成精密,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4950,金耘國際,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4951,精拓科,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4952,凌通,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4953,緯致,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4956,光鋐,stock,TWSE,partial,85.71,殖利率狀態 | 歷季財報,valuation_source_missing | quarter_history_incomplete
4958,臻鼎-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4960,誠美材,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4961,天鈺,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4966,譜瑞-KY,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4967,十銓,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4968,立積,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4971,IET-KY,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4972,湯石照明,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4973,廣穎電通,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4974,亞泰,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4976,佳凌,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4977,眾達-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4979,華星光,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4989,榮科,stock,TWSE,partial,78.57,本益比狀態 | 殖利率狀態 | 歷季財報,valuation_source_missing | valuation_source_missing | quarter_history_incomplete
4991,環宇-KY,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4994,傳奇,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
4995,晶達,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
4999,鑫禾,stock,TWSE,partial,85.71,本益比狀態 | 歷季財報,valuation_source_missing | quarter_history_incomplete
